Posted Date,Letter Issue Date,Company Name,Warning Letter URL,Issuing Office,Subject
"<time datetime=""2025-09-16T13:20:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
","iVisitDoc, Inc. dba iVisitDoc",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ivisitdoc-inc-dba-ivisitdoc-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T13:20:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Amazing Meds,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/amazing-meds-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T13:20:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",ybycmeds,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ybycmeds-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T13:20:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",GenLabMeds,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/genlabmeds-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T13:20:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Lean Dreams LLC dba LeanDreams,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/lean-dreams-llc-dba-leandreams-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T13:20:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Try Nova,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/try-nova-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T13:20:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Lyfe Rx,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/lyfe-rx-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T13:20:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
","Tuyo Health, Inc. dba Tuyo Health",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/tuyo-health-inc-dba-tuyo-health-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T13:20:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Las Villas Health Care LLC dba Villas Health,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/las-villas-health-care-llc-dba-villas-health-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T13:20:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
","FitRX, LLC dba Zealthy",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fitrx-llc-dba-zealthy-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T13:20:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
","Get.Fit.Medical, LLC dba Get.Fit.Medical",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/getfitmedical-llc-dba-getfitmedical-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T13:20:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
","FWD Care, Inc. dba FWD",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fwd-care-inc-dba-fwd-716696-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Novo Nordisk Inc.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/novo-nordisk-inc-716495-09092025,Center for Drug Evaluation and Research (CDER),False &amp; Misleading Claims/Misbranded
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-05T04:00:00Z"">09/05/2025</time>
","HED Technologies, LLC d/b/a Everything 420",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/hed-technologies-llc-dba-everything-420-701687-09052025,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
","Yangzhou Yulou Paper Products Co., Ltd.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/yangzhou-yulou-paper-products-co-ltd-710907-09092025,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",bettyvape.com,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bettyvapecom-716293-09092025,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-08-21T04:00:00Z"">08/21/2025</time>
","SeniorLife Technologies, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/seniorlife-technologies-inc-707021-08212025,Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-08-07T04:00:00Z"">08/07/2025</time>
",DingMoo LLC DBA Dingman’s Dairy,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/dingmoo-llc-dba-dingmans-dairy-705186-08072025,Division of Northeast Imports,Foreign Supplier Verification Program (FSVP)
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-07-17T04:00:00Z"">07/17/2025</time>
","Mericon Industries, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mericon-industries-inc-692733-07172025,Human Foods Program,Unapproved New Drugs/Misbranded
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-11T04:00:00Z"">09/11/2025</time>
",Columbia Cosmetics Manufacturing Inc.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/columbia-cosmetics-manufacturing-inc-710885-09112025,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-11T04:00:00Z"">09/11/2025</time>
","Blue Forest Farms, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/blue-forest-farms-llc-711990-09112025,Human Foods Program,Adulterated Human Foods/Misbranded
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-04T04:00:00Z"">09/04/2025</time>
",NuVida Medical LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/nuvida-medical-llc-707745-09042025,Center for Biologics Evaluation and Research (CBER),"Deviations/CFR/Regulations for Human Cells, Tissues &amp; Cellular Products (HCT/Ps)"
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",CSL Behring,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/csl-behring-716297-09092025,Center for Biologics Evaluation and Research (CBER),Advertising &amp; Promotional Labeling/Drugs/Biological Products
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-05T04:00:00Z"">09/05/2025</time>
",unclelarrysmokes.com,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/unclelarrysmokescom-701662-09052025,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-12T04:00:00Z"">09/12/2025</time>
",vaporcafeonline.net,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/vaporcafeonlinenet-716439-09122025,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-12T04:00:00Z"">09/12/2025</time>
",bigtexanvapor.com,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bigtexanvaporcom-716443-09122025,Center for Tobacco Products,"Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded<br />
"
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",inspire.clinic,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/inspireclinic-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
","Bioverse, Inc. dba Bioverse",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bioverse-inc-dba-bioverse-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Eli Lilly and Company,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/eli-lilly-and-company-716462-09092025,Center for Drug Evaluation and Research (CDER),False &amp; Misleading Claims/Misbranded
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Eli Lilly and Company,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/eli-lilly-and-company-716485-09092025,Center for Drug Evaluation and Research (CDER),False &amp; Misleading Claims/Misbranded
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Eli Lilly and Company,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/eli-lilly-and-company-716475-09092025,Center for Drug Evaluation and Research (CDER),False &amp; Misleading Claims/Misbranded
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",SimpleRx,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/simplerx-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
","Elevate Your Wellness LLC, dba Elevated",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/elevate-your-wellness-llc-dba-elevated-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Cosmo Medical Spa dba Cosmo Med Spa,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/cosmo-medical-spa-dba-cosmo-med-spa-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",EvoLife Wellness,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/evolife-wellness-715507-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",eDrugstore,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/edrugstore-716505-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Nuvo Life Health Inc. dba Nuvo Life Health,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/nuvo-life-health-inc-dba-nuvo-life-health-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",SemaBio,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/semabio-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
","directmeds.com, Inc. dba DirectMeds",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/directmedscom-inc-dba-directmeds-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
","Hims & Hers Health, Inc. dba Hims",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/hims-hers-health-inc-dba-hims-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",MedClub by Dr. Jenn,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/medclub-dr-jenn-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
","Mane & Steel, LLC. dba Mane & Steel",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mane-steel-llc-dba-mane-steel-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Lumimeds,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/lumimeds-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",GLP-1 Solution,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/glp-1-solution-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",ASN-LABS,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/asn-labs-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Body Good Studio,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/body-good-studio-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Canada Med Stop,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/canada-med-stop-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",All American Wellness,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/all-american-wellness-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Healthy Male,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/healthy-male-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Intimate Rose,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/intimate-rose-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Invigorate Med Spa,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/invigorate-med-spa-715872-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Dr. Gater’s Weight Loss & Wellness,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/dr-gaters-weight-loss-wellness-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Remedy Meds,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/remedy-meds-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",EA WORKS Limited Liability Company dba Trust Labs,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ea-works-limited-liability-company-dba-trust-labs-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
","Fancy Meds, LLC dba Fancy Meds",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fancy-meds-llc-dba-fancy-meds-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
","Matthew Stern, CEO MyStart Health LLC.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/matthew-stern-ceo-mystart-health-llc-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Alora Pharmaceuticals,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/alora-pharmaceuticals-716591-09092025,Center for Drug Evaluation and Research (CDER),False &amp; Misleading Claims/Misbranded
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Elite Health Center,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/elite-health-center-715869-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Curex,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/curex-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Healthon Inc. dba Healthon,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/healthon-inc-dba-healthon-09092025,Center for Drug Evaluation and Research (CDER),"Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet<br />
"
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",JulyMD,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/julymd-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Slendid,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/slendid-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
","Hello Cake, Inc. dba Hello Cake",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/hello-cake-inc-dba-hello-cake-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Biopreventative Company LLC dba Biopreventative,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/biopreventative-company-llc-dba-biopreventative-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Sprout Health Partners LLC dba Sprout Health,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sprout-health-partners-llc-dba-sprout-health-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",Master Pharmaceuticals Group,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/master-pharmaceuticals-group-715800-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
","TRYM Health, Inc. dba TRYM Health",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/trym-health-inc-dba-trym-health-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
",HealBerry,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/healberry-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-09T04:00:00Z"">09/09/2025</time>
","Reset IV, LLC dba Reset IV",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/reset-iv-llc-dba-reset-iv-09092025,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet
"<time datetime=""2025-09-16T04:00:00Z"">09/16/2025</time>
","<time datetime=""2025-09-04T04:00:00Z"">09/04/2025</time>
",Somerset Therapeutics Private Limited,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/somerset-therapeutics-private-limited-711340-09042025,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
"<time datetime=""2025-09-12T04:00:00Z"">09/12/2025</time>
","<time datetime=""2025-09-11T04:00:00Z"">09/11/2025</time>
",Absolute Vapor LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/absolute-vapor-llc-716398-09112025,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
"<time datetime=""2025-09-11T04:00:00Z"">09/11/2025</time>
","<time datetime=""2025-09-11T04:00:00Z"">09/11/2025</time>
",Wild Bill's Tobacco of Alpena LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/wild-bills-tobacco-alpena-llc-712517-09112025,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
